No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
220;4,0054;4,0054;;;;4,0054;4,0054;0;;0,000481;0;0,000481
221;4,0054;4,0054;;;;4,005881;4,0054;0,000481;;0,001634;0,000481;0,001153
222;4,005881;4,005881;;;;4,007515;4,005881;0,001634;;0,000695;0,001634;-0,000939
223;4,007515;4,007515;;;;4,00821;4,007515;0,000695;;0,04187;0,000695;0,041175
224;4,00821;4,00821;;;;4,05008;4,00821;0,04187;;0,010841;0,04187;-0,031029
225;4,05008;4,05008;;;;4,060921;4,05008;0,010841;;0,693784;0,010841;0,682943
226;4,060921;4,060921;;;;4,754705;4,060921;0,693784;;1,01664;0,693784;0,322856
227;4,754705;4,754705;;;;5,771345;4,754705;1,01664;;0,031075;1,01664;-0,985565
228;5,771345;5,771345;;;;5,80242;5,771345;0,031075;;0,145999;0,031075;0,114924
229;5,80242;5,80242;;;;5,948419;5,80242;0,145999;;0,026777;0,145999;-0,119222
230;5,948419;5,948419;;;;5,975196;5,948419;0,026777;;0,93999;0,026777;0,913213
231;5,975196;5,975196;;;;6,915186;5,975196;0,93999;;0,00017;0,93999;-0,93982
233;6,915186;6,915186;;;;6,915356;6,915186;0,00017;;0,794404;0,00017;0,794234
234;6,915356;6,915356;;;;7,70976;6,915356;0,794404;;0,471161;0,794404;-0,323243
239;7,70976;7,70976;;;;8,180921;7,70976;0,471161;;0,198112;0,471161;-0,273049
240;8,180921;8,180921;;;;8,379033;8,180921;0,198112;;0,3327;0,198112;0,134588
242;8,379033;8,379033;;;;8,711733;8,379033;0,3327;;0,295892;0,3327;-0,036808
245;8,711733;8,711733;;;;9,007625;8,711733;0,295892;;0;0,295892;-0,295892
250;9,007625;9,007625;;;;9,007625;9,007625;0;;0;0;0
251;9,007625;9,007625;;;;9,007625;9,007625;0;;0,000355;0;0,000355
252;9,007625;9,007625;;;;9,00798;9,007625;0,000355;;0,000143;0,000355;-0,000212
253;9,00798;9,00798;;;;9,008123;9,00798;0,000143;;0,001462;0,000143;0,001319
254;9,008123;9,008123;;;;9,009585;9,008123;0,001462;;0,003128;0,001462;0,001666
257;9,009585;9,009585;;;;9,012713;9,009585;0,003128;;0,032738;0,003128;0,02961
264;9,012713;9,012713;;;;9,045451;9,012713;0,032738;;0,064251;0,032738;0,031513
267;9,045451;9,045451;;;;9,109702;9,045451;0,064251;;0,000136;0,064251;-0,064115
269;9,109702;9,109702;;;;9,109838;9,109702;0,000136;;0,000298;0,000136;0,000162
270;9,109838;9,109838;;;;9,110136;9,109838;0,000298;;0,000224;0,000298;-7,4E-05
271;9,110136;9,110136;;;;9,11036;9,110136;0,000224;;0,005809;0,000224;0,005585
272;9,11036;9,11036;;;;9,116169;9,11036;0,005809;;0,00251;0,005809;-0,003299
273;9,116169;9,116169;;;;9,118679;9,116169;0,00251;;0,001164;0,00251;-0,001346
278;9,118679;9,118679;;;;9,119843;9,118679;0,001164;;0,042497;0,001164;0,041333
281;9,119843;9,119843;;;;9,16234;9,119843;0,042497;;0;0,042497;-0,042497
297;9,16234;9,16234;;;;9,16234;9,16234;0;;0,003616;0;0,003616
298;9,16234;9,16234;;;;9,165956;9,16234;0,003616;;0;0,003616;-0,003616
305;9,165956;9,165956;;;;9,165956;9,165956;0;;0,000281;0;0,000281
306;9,165956;9,165956;;;;9,166237;9,165956;0,000281;;0;0,000281;-0,000281
307;9,166237;9,166237;;;;9,166237;9,166237;0;;0,015947;0;0,015947
308;9,166237;9,166237;;;;9,182184;9,166237;0,015947;;0;0,015947;-0,015947
321;9,182184;9,182184;;;;9,182184;9,182184;0;;0,014078;0;0,014078
322;9,182184;9,182184;;;;9,196262;9,182184;0,014078;;0,006655;0,014078;-0,007423
341;9,196262;9,196262;;;;9,202917;9,196262;0,006655;;0,01116;0,006655;0,004505
350;9,202917;9,202917;;;;9,214077;9,202917;0,01116;;0;0,01116;-0,01116
365;9,214077;9,214077;;;;9,214077;9,214077;0;;0;0;0
366;9,214077;9,214077;;;;9,214077;9,214077;0;;0,000246;0;0,000246
367;9,214077;9,214077;;;;9,214323;9,214077;0,000246;;0,006397;0,000246;0,006151
371;9,214323;9,214323;;;;9,22072;9,214323;0,006397;;0,000652;0,006397;-0,005745
377;9,22072;9,22072;;;;9,221372;9,22072;0,000652;;0;0,000652;-0,000652
378;9,221372;9,221372;;;;9,221372;9,221372;0;;0;0;0
379;9,221372;9,221372;;;;9,221372;9,221372;0;;0;0;0
380;9,221372;9,221372;;;;9,221372;9,221372;0;;0,03873;0;0,03873
381;9,221372;9,221372;;;;9,260102;9,221372;0,03873;;0,222583;0,03873;0,183853
387;9,260102;9,260102;;;;9,482685;9,260102;0,222583;;0;0,222583;-0,222583
426;9,482685;9,482685;;;;9,482685;9,482685;0;;0,000186;0;0,000186
427;9,482685;9,482685;;;;9,482871;9,482685;0,000186;;0,000805;0,000186;0,000619
428;9,482871;9,482871;;;;9,483676;9,482871;0,000805;;0,015309;0,000805;0,014504
429;9,483676;9,483676;;;;9,498985;9,483676;0,015309;;0,000298;0,015309;-0,015011
430;9,498985;9,498985;;;;9,499283;9,498985;0,000298;;0,000261;0,000298;-3,7E-05
431;9,499283;9,499283;;;;9,499544;9,499283;0,000261;;0,031736;0,000261;0,031475
432;9,499544;9,499544;;;;9,53128;9,499544;0,031736;;0,036684;0,031736;0,004948
440;9,53128;9,53128;;;;9,567964;9,53128;0,036684;;0,00245;0,036684;-0,034234
460;9,567964;9,567964;;;;9,570414;9,567964;0,00245;;0;0,00245;-0,00245
463;9,570414;9,570414;;;;9,570414;9,570414;0;;0;0;0
464;9,570414;9,570414;;;;9,570414;9,570414;0;;0,000212;0;0,000212
465;9,570414;9,570414;;;;9,570626;9,570414;0,000212;;0,004492;0,000212;0,00428
466;9,570626;9,570626;;;;9,575118;9,570626;0,004492;;0,075583;0,004492;0,071091
470;9,575118;9,575118;;;;9,650701;9,575118;0,075583;;0,002214;0,075583;-0,073369
519;9,650701;9,650701;;;;9,652915;9,650701;0,002214;;0;0,002214;-0,002214
520;9,652915;9,652915;;;;9,652915;9,652915;0;;0,000104;0;0,000104
521;9,652915;9,652915;;;;9,653019;9,652915;0,000104;;0,003141;0,000104;0,003037
522;9,653019;9,653019;;;;9,65616;9,653019;0,003141;;0,000147;0,003141;-0,002994
523;9,65616;9,65616;;;;9,656307;9,65616;0,000147;;0,006838;0,000147;0,006691
524;9,656307;9,656307;;;;9,663145;9,656307;0,006838;;0;0,006838;-0,006838
525;9,663145;9,663145;;;;9,663145;9,663145;0;;0;0;0
526;9,663145;9,663145;;;;9,663145;9,663145;0;;0;0;0
527;9,663145;9,663145;;;;9,663145;9,663145;0;;0,000297;0;0,000297
528;9,663145;9,663145;;;;9,663442;9,663145;0,000297;;0,018434;0,000297;0,018137
535;9,663442;9,663442;;;;9,681876;9,663442;0,018434;;0;0,018434;-0,018434
553;9,681876;9,681876;;;;9,681876;9,681876;0;;0;0;0
554;9,681876;9,681876;;;;9,681876;9,681876;0;;0;0;0
555;9,681876;9,681876;;;;9,681876;9,681876;0;;0;0;0
557;9,681876;9,681876;;;;9,681876;9,681876;0;;0,001455;0;0,001455
558;9,681876;9,681876;;;;9,683331;9,681876;0,001455;;0,029285;0,001455;0,02783
